Source,Date,Tweet Text,Compound,Positive,Neutral,Negative,Tweets Ago
@BBC,Sun Jun 17 12:04:03 +0000 2018,"😂🔥 Nothing says #HappyFathersDay like a good, old-fashioned roasting from your daughter. https://t.co/0dqwntX5uj",0.6597,0.351,0.649,0.0,30
@BBC,Sun Jun 17 11:19:22 +0000 2018,"RT @BBCOne: Which dad is your dad? (Ours is defo Nature Dad!) 
#HappyFathersDay #FathersDay https://t.co/vFZoJL13e1",0.0,0.0,1.0,0.0,31
@BBC,Sun Jun 17 11:03:02 +0000 2018,📷😍 This field of poppies in the Black Country has been inspiring local photographers. https://t.co/bK8iEUueEa,0.4215,0.167,0.833,0.0,32
@BBC,Sun Jun 17 10:02:04 +0000 2018,👚👖 The community launderette inspired by the 'saint of the slums'. https://t.co/NtL6CaTeZQ,0.4939,0.225,0.775,0.0,33
@BBC,Sun Jun 17 09:04:06 +0000 2018,"😭✊#DadGoals with former F1 driver @RuBarrichello. 
#FathersDay https://t.co/77GfG51TSO",0.0,0.0,1.0,0.0,34
@BBC,Sun Jun 17 08:01:10 +0000 2018,📸🚘 A playful look at Mexico's enduring love affair with one of the most recognisable cars in automotive history fro… https://t.co/yWoolKb5p4,0.7964,0.283,0.717,0.0,35
@BBC,Sun Jun 17 07:49:56 +0000 2018,"RT @bbcdoctorwho: Happy birthday to Jodie Whittaker, the Thirteenth Doctor!🎁🎉 #DoctorWho https://t.co/TNi3zHjsHG",0.6114,0.266,0.734,0.0,36
@BBC,Sun Jun 17 07:49:43 +0000 2018,RT @BBCFood: How about this MEGA breakfast for Dad this morning? 👍 https://t.co/2jakwwsVun https://t.co/qyfcI76vm9,0.0,0.0,1.0,0.0,37
@BBC,Sun Jun 17 07:49:39 +0000 2018,"RT @CBeebiesHQ: The incredibly complicated Kick song lyrics. 

You ask, we deliver 👍

 @HEYDUGGEE 

#WorldCup2018 

#ENGTUN

#FifaWorldCup2…",0.0,0.0,1.0,0.0,38
@BBC,Sun Jun 17 07:00:21 +0000 2018,"Happy #FathersDay!

🕺👏😄 We dare you to watch these dads dance with their babies without smiling! https://t.co/XCJaqcts7A",0.4222,0.197,0.689,0.114,39
@BBC,Sat Jun 16 19:02:02 +0000 2018,"Tonight, @KirstyWark and @Mr_Mansaray go behind the scenes at @royalacademy. 

Royal Academy Summer Exhibition | 9p… https://t.co/P44CCk109J",0.0,0.0,1.0,0.0,40
@BBC,Sat Jun 16 18:59:57 +0000 2018,"RT @bbctms: Australia. Oh dear. 

Football ❌
Rugby ❌
Cricket ❌

#bbccricket https://t.co/6ScQ5Gw1c8",0.3818,0.224,0.776,0.0,41
@BBC,Sat Jun 16 18:58:25 +0000 2018,RT @BBCMOTD: Iceland are making #worldcup history... and they're taking everyone along with them!  https://t.co/XIVT8Sij16 #bbcworldcup #AR…,0.0,0.0,1.0,0.0,42
@BBC,Sat Jun 16 18:04:02 +0000 2018,"😂🛁 If you think cleaning your bath is a pain, please spare a thought for these guys! https://t.co/aIpja4kCyJ",-0.3164,0.116,0.704,0.181,43
@BBC,Sat Jun 16 17:15:03 +0000 2018,😁 Russian workers have been getting ready for the #WorldCup by learning how to smile more.  https://t.co/Qv9BoVmX25,0.6124,0.263,0.737,0.0,44
@BBC,Sat Jun 16 16:32:01 +0000 2018,"An astonishing journey revealing the awesome power of the natural world. 🌍🐝🐦

Earth: One Amazing Day | 6:30pm |… https://t.co/E7ivezQMWU",0.886,0.394,0.606,0.0,45
@BBC,Sat Jun 16 16:06:02 +0000 2018,❤️ There's a magical quality to children that gets through to the person behind the dementia diagnosis. https://t.co/ONNwNsRTAx,0.0,0.0,1.0,0.0,46
@BBC,Sat Jun 16 15:52:37 +0000 2018,RT @bbcthree: Imagine waking up one morning and you've lost the ability to speak or move your hands. https://t.co/NvcizyjNox,0.0,0.106,0.787,0.106,47
@BBC,Sat Jun 16 15:03:07 +0000 2018,"Scientists have been shocked by the mysterious deaths of ancient African baobab trees, which may live hundreds if n… https://t.co/pXM5lK7GRK",-0.3182,0.0,0.892,0.108,48
@BBC,Sat Jun 16 14:06:05 +0000 2018,👣🌎 Did you know that our feet will walk more than four times around the world during an average lifetime? https://t.co/p7AwONQNGW,0.0,0.0,1.0,0.0,49
@BBC,Sat Jun 16 12:01:05 +0000 2018,"From lemon yoghurt to strawberry and banana: these are the easiest ice creams to make with your kids. 🍦🍋🍓🥄

👉… https://t.co/neqUgrR7VC",0.4215,0.123,0.877,0.0,50
@BBC,Sat Jun 16 11:01:03 +0000 2018,We think we've found Wally... 😂https://t.co/StERHqQurb,0.0,0.0,1.0,0.0,51
@BBC,Sat Jun 16 10:05:05 +0000 2018,"'If I'd failed, it would have set women back generations.'

Meet Jo Reynolds, the UK's first female firefighter.… https://t.co/PFmp62j8Yh",-0.5106,0.0,0.845,0.155,52
@BBC,Sat Jun 16 09:01:05 +0000 2018,"🥦☕️ Broccoli coffee is the new health trend nobody asked for...
👉 https://t.co/fWo8kZDN1A https://t.co/liWZ9jp0jp",0.0,0.0,1.0,0.0,53
@BBC,Sat Jun 16 08:44:09 +0000 2018,"RT @BBCSport: #PORESP was absolutely unbelievable! 😍

 #WorldCup #bbcworldcup https://t.co/ALW30zBPsY",0.3367,0.23,0.77,0.0,54
@BBC,Sat Jun 16 08:44:03 +0000 2018,"RT @BBCNews: US child migrants: 2,000 separated from families in six weeks https://t.co/RFFjghf3sA",0.0,0.0,1.0,0.0,55
@BBC,Sat Jun 16 08:43:55 +0000 2018,"RT @CBeebiesHQ: 🚨New Presenter Alert 🚨

Please join us in welcoming our new presenter!

Evie 💁🏻

Wish her the best of luck 🙌🏽✨

#CBeebiesHo…",0.9571,0.553,0.447,0.0,56
@BBC,Sat Jun 16 08:43:44 +0000 2018,RT @BBCScotlandNews: Major fire ravages Glasgow School of Art Mackintosh Building https://t.co/R0jsiyPvFV,-0.34,0.0,0.821,0.179,57
@BBC,Sat Jun 16 08:01:08 +0000 2018,Colourful flags have appeared across London's West End as the @RoyalAcademy celebrates its 250th anniversary.… https://t.co/fT7gXLbeAE,0.5719,0.198,0.802,0.0,58
@BBC,Sat Jun 16 07:04:07 +0000 2018,"🐺🏔🌲🎧
Not quite ready to wake up yet? 

Sit back, close your eyes and listen to the incredible sounds of Alaska... https://t.co/oxXS1KWHKW",0.4201,0.117,0.883,0.0,59
@BBC,Fri Jun 15 18:04:07 +0000 2018,😂 Yer maw + technology = carnage https://t.co/nYbvEqad99,0.0,0.0,1.0,0.0,60
@BBC,Fri Jun 15 17:02:02 +0000 2018,"📻📚🎧 Listen to @BBCRadio4's serialisation of Margaret Atwood's novel set in a world of women under oppression. 

The… https://t.co/jaYFlRtztE",0.3182,0.119,0.881,0.0,61
@BBC,Fri Jun 15 16:28:04 +0000 2018,🌊🌋 Watch what happens when molten lava from Hawaii's Kilauea volcano meets the sea — what looks like steam is actua… https://t.co/5VbSwmFWw7,0.3612,0.111,0.889,0.0,62
@BBC,Fri Jun 15 16:01:00 +0000 2018,When you remember that you get a lie in tomorrow... 🎉😂#FridayFeeling @george_ezra https://t.co/if2tZARVXc,0.0,0.0,1.0,0.0,63
@BBC,Fri Jun 15 15:51:09 +0000 2018,"RT @bbcwritersroom: Attention #writers Studio Sitcom needs YOU!
Check out a great new post on our blog from one of our #comedy #script read…",0.6588,0.166,0.834,0.0,64
@BBC,Fri Jun 15 15:50:52 +0000 2018,RT @BBCWomansHour: 💚 What do you love about Dads? @F_of_Daughters shares some top tips about how to be a great father and the kind of role…,0.9062,0.381,0.619,0.0,65
@BBC,Fri Jun 15 15:42:32 +0000 2018,"🐷🔮 Mystic Marcus - a pig with 'special powers',  has chosen the four nations that will reach the #WorldCup semi-fin… https://t.co/jEpvpVBx0m",0.4215,0.183,0.817,0.0,66
@BBC,Fri Jun 15 15:19:45 +0000 2018,"RT @BBCRadio1PR: Our @BBCR1 family are excited to kick off the weekend vibes tomorrow🎉wake up to @dev_101 &amp; @Alicelevine,dance to the Great…",0.34,0.103,0.897,0.0,67
@BBC,Fri Jun 15 15:13:04 +0000 2018,"💔 EastEnders actor Leslie Grantham, best known as the roguish ""Dirty"" Den Watts in the BBC One soap, has died aged… https://t.co/PUCal4HD7p",0.1531,0.157,0.709,0.134,68
@BBC,Fri Jun 15 13:00:24 +0000 2018,"🌎 From Colombia's Cartagena to Exmouth in Western Australia, these are the world's top 5 hidden gems according to t… https://t.co/0zX7mH4Cs7",0.2023,0.091,0.909,0.0,69
@BBC,Fri Jun 15 12:00:39 +0000 2018,🥊👨‍🎤 Who would you invite to your dream dinner party?  https://t.co/7HcjJzNiCk,0.6486,0.441,0.559,0.0,70
