,city,cloudiness,humidity,lat,lon,temp_max,wind_speed
108,Vilhena,0,83,-12.74,-60.15,59.7,4.97
109,Beaverlodge,20,87,55.21,-119.43,50.0,9.17
110,Thompson,90,93,55.74,-97.86,51.8,12.75
111,Namibe,0,97,-15.19,12.15,72.3,2.51
112,Japura,8,54,-0.42,102.29,92.01,2.95
113,Port Elizabeth,1,82,39.31,-74.98,62.6,1.61
114,San Patricio,0,91,-26.98,-56.83,39.27,4.74
115,Cape Town,20,93,-33.93,18.42,51.8,10.29
116,Waingapu,0,55,-9.65,120.26,82.74,11.23
117,Inirida,92,100,3.87,-67.92,72.3,1.5
118,Saysain,90,88,14.56,120.39,82.4,9.17
119,Abensberg,1,64,48.82,11.85,68.0,6.93
120,Inuvik,90,67,68.36,-133.71,39.2,9.17
121,Avarua,75,94,-21.21,-159.78,73.4,4.7
122,Tuatapere,12,100,-46.13,167.69,42.24,6.08
123,Chokurdakh,20,92,70.62,147.9,38.82,11.56
124,Egvekinot,0,72,66.32,-179.17,38.64,2.62
125,Tenenkou,0,43,14.46,-4.91,93.45,9.22
126,Katsuura,20,50,33.93,134.5,75.2,9.17
127,Elliot Lake,1,71,46.37,-82.65,55.4,2.24
128,Maple Creek,0,70,49.91,-109.46,48.99,4.74
129,Praya,75,66,-8.71,116.27,84.2,10.29
130,Sept-Iles,75,53,50.2,-66.38,51.8,5.82
131,Kahului,1,83,20.89,-156.47,73.4,7.09
132,Geraldton,5,87,49.72,-86.95,55.4,4.7
133,Puerto Ayora,92,100,-0.74,-90.35,71.85,8.99
134,Srednekolymsk,20,29,67.46,153.71,68.16,2.95
135,Pisco,90,93,-13.71,-76.2,60.8,4.7
136,Tazovskiy,48,82,67.47,78.7,75.9,9.1
137,Lompoc,90,82,34.64,-120.46,60.8,8.05
138,Bethel,90,93,60.79,-161.76,53.6,8.05
139,Chuy,80,98,-33.69,-53.46,50.07,9.22
140,Madang,12,91,-5.21,145.81,78.69,2.39
141,Port Alfred,44,73,-33.59,26.89,62.49,23.64
142,Nishihara,90,87,35.74,139.53,64.4,6.93
143,Dudinka,68,27,69.41,86.18,86.07,8.43
144,Butaritari,0,100,3.07,172.79,83.19,1.5
145,Busselton,0,97,-33.64,115.35,65.55,12.46
146,Talnakh,20,37,69.49,88.39,72.57,10.11
147,Komsomolskoye,80,69,45.02,34.02,78.87,1.16
148,Port Macquarie,12,47,-31.43,152.91,55.4,6.93
149,Igrim,88,82,63.19,64.42,56.28,9.66
150,Springdale,1,73,36.19,-94.13,75.2,5.82
151,Lehi,1,55,40.39,-111.85,77.0,8.21
152,La Ronge,75,71,55.1,-105.3,55.4,6.93
153,Ponta do Sol,76,99,-20.63,-46.0,63.03,3.06
154,Sarangani,64,99,5.4,125.46,84.36,7.65
155,Dongsheng,32,60,29.72,112.52,92.19,4.52
156,Biltine,0,33,14.53,20.93,99.75,10.56
157,Yanam,20,52,16.73,82.22,97.77,11.68
